1488841380,seth,00000000000000000000001010000000000000000000000000000
1488841440,seth,00000000000000000000001010000000000000000000000000000
1488841500,seth,00000000000000000000001010000000000000000000000000000
1488841560,seth,00000000000000000000001010000000000000000000000000000
1488841620,seth,00000000000000000000001010000000000000000000000000000
1488841680,seth,00000000000000000000001010000000000000000000000000000
1488841740,seth,00000000000000000000001010000000000000000000000000000
1488841800,seth,00000000000000000000001010000000000000000000000000000
1488841860,seth,00000000000000000000001010000000000000000000000000000
1488841920,seth,00000000000000000000001010000000000000000000000000000
1488841980,seth,00000000000000000000001010000000000000000000000000000
1488842040,seth,00000000000000000000001010000000000000000000000000000
1488842100,seth,00000000000000000000001010000000000000000000000000000
1488842160,seth,00000000000000000000001010000000000000000000000000000
1488842220,seth,00000000000000000000001010000000000000000000000000000
1488842280,seth,00000000000000000000001010000000000000000000000000000
1488842340,seth,00000000000000000000001010000000000000000000000000000
1488842400,seth,00000000000000000000001010000000000000000000000000000
1488842460,seth,00000000000000000000001010000000000000000000000000000
1488842520,seth,00000000000000000000001010000000000000000000000000000
1488842580,seth,00000000000000000000001010000000000000000000000000000
1488842640,seth,00000000000000000000001010000000000000000000000000000
1488842700,seth,00000000000000000000001010000000000000000000000000000
1488842760,seth,00000000000000000000001010000000000000000000000000000
1488842820,seth,00000000000000000000001010000000000000000000000000000
1488842880,seth,00000000000000000000001010000000000000000000000000000
1488842940,seth,00000000000000000000001010000000000000000000000000000
1488843000,seth,00000000000000000000001010000000000000000000000000000
1488843060,seth,00000000000000000000001010000000000000000000000000000
1488843120,seth,00000000000000000000001010000000000000000000000000000
1488843180,seth,00000000000000000000001010000000000000000000000000000
1488843240,seth,00000000000000000000001010000000000000000000000000000
1488843300,seth,00000000000000000000001010000000000000000000000000000
1488843360,seth,00000000000000000000001010000000000000000000000000000
1488843420,seth,00000000000000000000001010000000000000000000000000000
1488843480,seth,00000000000000000000001010000000000000000000000000000
1488843540,seth,00000000000000000000001010000000000000000000000000000
1488843600,seth,00000000000000000000001010000000000000000000000000000
